market_id,question,slug,end_date,active,closed,category_raw,group_item_title,volume,liquidity,condition_id,tokens,category
553850,Will the Boston Bruins win the 2026 NHL Stanley Cup?,will-the-boston-bruins-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Boston Bruins,1139838.9238809992,183483.10604,0x82d8c535c037a779ffbd2eb94704b093a5341350b49ca68128fc1c16a0901e4a,"['96156230578747105661476819749931380321917772151891667564189808442987244872145', '24789905903899678448437032359677789820642352076173124534790862885285353082845']",SPORTS
553851,Will the Buffalo Sabres win the 2026 NHL Stanley Cup?,will-the-buffalo-sabres-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Buffalo Sabres,2999683.915054991,166167.85696,0xbefea6668e49e328db4d5c792bc15cea309bbc06101dfd6ced1e0556ad3ea301,"['86989765000750155883097827320609652927052275812009422751609183177638176999827', '27567623701936433796601303407226067803713696645804713742508261420706593984700']",SPORTS
553852,Will the Pittsburgh Penguins win the 2026 NHL Stanley Cup?,will-the-pittsburgh-penguins-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Pittsburgh Penguins,1212163.562385998,159197.03927,0x9e54856d758cd7de25b75c97273a38d711642f16eacad57e61982028f2791206,"['8851645587670338204652278122922654341568030658294043049798551516787478126093', '105159591365972907779164323332625661203129821196625530161327324705373588468320']",SPORTS
553856,Will the Oklahoma City Thunder win the 2026 NBA Finals?,will-the-oklahoma-city-thunder-win-the-2026-nba-finals,2026-07-01T00:00:00Z,True,False,,Oklahoma City Thunder,7219130.687825941,282886.2077,0x22e7b5e35423e76842dd3a5e1a21d13793811080d5e7b2896d0c001bd5e97d54,"['49500299856831034491021962156746701298730459370557900271970866855042624695770', '44914465637297319816681463234953032477919413063019359633128421605039733545953']",SPORTS
553857,Will the Cleveland Cavaliers win the 2026 NBA Finals?,will-the-cleveland-cavaliers-win-the-2026-nba-finals,2026-07-01T00:00:00Z,True,False,,Cleveland Cavaliers,6252064.218433961,449376.04571,0x6b44bd667fad6cb5b3b68d8bd1055a038c77d9176dbd51f123879797cc3368a7,"['21929863894047830651599085392978377118642353711084157807549430066031384497667', '87330689906224096887625709229706923472442188571057301299963059101866409440363']",SPORTS
553858,Will the New York Knicks win the 2026 NBA Finals?,will-the-new-york-knicks-win-the-2026-nba-finals,2026-07-01T00:00:00Z,True,False,,New York Knicks,5794591.577584829,254758.51027,0x713641f745d71f6ec61f906237ffca3c8583f251e49384429a63ceb0ccdb2d37,"['20257190540739490630509657713144742134547949967093643458458133445357169845406', '1770840559776249239623005379825945674336282130390798724203946923853499387834']",SPORTS
553859,Will the Minnesota Timberwolves win the 2026 NBA Finals?,will-the-minnesota-timberwolves-win-the-2026-nba-finals,2026-07-01T00:00:00Z,True,False,,Minnesota Timberwolves,6670506.859723902,374692.51628,0x649ad05a2868343271fe82ea692031d567ca1af652e3529788933157e94aa088,"['5771676627182954113677164857547228277089396639521594262964034606220001939923', '65745417184316471123701656851846948699220805945682138735308449338418068204083']",SPORTS
553860,Will the Houston Rockets win the 2026 NBA Finals?,will-the-houston-rockets-win-the-2026-nba-finals,2026-07-01T00:00:00Z,True,False,,Houston Rockets,5014784.871678,412184.29931,0x9b56568af78dd036b03c641e0673729d72cd7d63578eb0119cd23eb1f94f1b56,"['50705248713323657762767401378286601907820885259053704401453562452183494476631', '90032510016992035908144344334497034888131477599689435939081777415620747474258']",SPORTS
553862,Will the Boston Celtics win the 2026 NBA Finals?,will-the-boston-celtics-win-the-2026-nba-finals,2026-07-01T00:00:00Z,True,False,,Boston Celtics,6958143.294098101,174903.67137,0x13e1cc703a120883a709d3bb29707097952845d61ca6793ea2b4328bae2a7451,"['98951343420969493497594761179562691809954416596888138302255086663562042936451', '68988781087071608596579516085819336301201525599500826069950065091990393143710']",SPORTS
553863,Will the Los Angeles Lakers win the 2026 NBA Finals?,will-the-los-angeles-lakers-win-the-2026-nba-finals,2026-07-01T00:00:00Z,True,False,,Los Angeles Lakers,11488193.726830127,522994.51982,0x796e791e7058571e460278814fc7a3183752285338f1400087b98bef3c447908,"['86297520870744792204751483474339201341298076835836561764334428915355504860913', '70799758189725267592147252808427831117090382599571633897338944002834894241449']",SPORTS
